Event,Date,Status,Tickets Sold,Tickets Available
AIM Emerging Tech Leaders Academy - Spring Session,"Thursday, May 5, 2022 1:00 PM",Live,1,49
AIM 2022 Tech Leadership Conference,"Tuesday, May 17, 2022 8:00 AM",Live,21,1879
AIM Developers Conference 2022,"Monday, October 3, 2022 8:00 AM",Live,17,1883
2022  AIM Tech Awards,"Thursday, November 10, 2022 5:30 PM",Live,0,1520
Intro to HTML & CSS Workshop,"Friday, June 28, 2019 5:00 PM",Draft,0,20
Interface Info Session - July 24th,Repeating Event,Draft,0,40
AIM Code School Info Session - November 27th,"Wednesday, November 27, 2019 7:00 PM",Draft,0,20
AIM Code School Info Session - December 11th,"Wednesday, December 11, 2019 7:00 PM",Draft,0,20
Demystifying Tech Careers Free Workshop,"Thursday, January 27, 2022 9:00 AM",Draft,0,0
First Tech Job Meetup,"Tuesday, February 15, 2022 5:00 PM",Draft,0,200
Trio Day Registration,"Saturday, February 27, 2016 8:00 AM",Past,145,155
Cisco IT Essentials Training,"Monday, June 20, 2016 9:00 AM",Past,7,1
AIM Careerlink Mixer Series,Repeating Event,Past,0,150
Heartland Developers Conference (HDC) 2016,"Monday, January 16, 2017 10:30 AM",Past,743,257
codeCraft Masters,"Saturday, January 28, 2017 9:00 AM",Past,14,1
Certified ScrumMaster Course - Infotec 2017,"Monday, March 27, 2017 8:30 AM",Past,60,0
Infotec 2017,"Tuesday, March 28, 2017 8:30 AM",Past,802,773
codeCraft Masters,"Saturday, May 6, 2017 9:00 AM",Past,6,0
Advanced iOS Workshop,"Wednesday, May 10, 2017 9:00 AM",Past,1,14
AIM Heartland Developers Conference (HDC) 2017,"Wednesday, September 6, 2017 8:00 AM",Past,777,683
Wednesday Docker Orchestration Workshop - AIM HDC 2017,"Wednesday, September 6, 2017 8:00 AM",Past,39,29
Certified ScrumMaster & Certified Agile Leader I Courses - Infotec 2018,"Monday, March 26, 2018 8:00 AM",Past,68,46
AIM Infotec 2018 Conference,"Tuesday, March 27, 2018 8:00 AM",Past,687,1048
AIM IT Emerging Leaders Program - Spring Session,"Thursday, April 26, 2018 12:00 PM",Past,24,6
